"gene","Top","p.value","FDR","summary.logFC","logFC.Sham","nmf10"
"SCN1A",34,1.5122079740254e-199,3.36065983874578e-197,-2.49228355136434,-2.49228355136434,0.000505310120465497
"MAP6",35,1.33141537292742e-197,2.87433558795419e-195,-3.3518918442286,-3.3518918442286,0.000183733908180578
"TRPC4",36,4.48519881466906e-196,9.4139339565663e-194,-2.366350161311,-2.366350161311,0.000252117518866323
"DCAKD",37,9.65256552350764e-191,1.97121040798984e-188,-2.89023032406933,-2.89023032406933,2.31916118985635e-05
"SH3D19",38,2.82314453102216e-190,5.61360002010615e-188,-2.86230259946811,-2.86230259946811,7.58970971967692e-05
"TMTC2",39,4.60678814619675e-190,8.92535672632389e-188,2.65039218590534,2.65039218590534,0.000133799354322269
"ETV3",40,9.13399777912313e-187,1.72541218047633e-184,2.58375319037529,2.58375319037529,1.7260233080441e-06
"RAP1GAP2",41,1.80845591191802e-185,3.33285191962262e-183,-2.35402981063459,-2.35402981063459,0.000522122878227023
"CYFIP1",42,1.02008618090823e-184,1.83518361498633e-182,-2.08342278196925,-2.08342278196925,6.02550073753641e-05
"TGFBR3",43,1.95372441169862e-184,3.43310271041734e-182,-2.32722473047425,-2.32722473047425,0.00029773672421149
"CARMIL1",44,4.52713678786715e-184,7.77432853843737e-182,-1.95557385543338,-1.95557385543338,0.000441302377199999
"SDCCAG8",45,1.07633458385222e-181,1.8072853590194e-179,-2.29340645576265,-2.29340645576265,8.05721436559364e-05
"RAB27A",46,8.34971843284755e-181,1.3715320104043e-178,-3.78023132586374,-3.78023132586374,5.35132788947823e-05
"CEP78",47,3.0878534406901e-180,4.96421714847966e-178,-2.6289005405419,-2.6289005405419,9.77552477523144e-05
"PBX1",48,2.40095636175925e-179,3.77950547280258e-177,-1.80828277292905,-1.80828277292905,0.000346160432048841
"ZNF483",49,1.83896196475131e-178,2.83575440931859e-176,-3.67579348667423,-3.67579348667423,0.000239463875842723
"TMEM175",50,2.7746563925806e-177,4.19306074046779e-175,-2.20000214400402,-2.20000214400402,4.40055681262535e-05
"KIAA1549",51,4.27953418073476e-177,6.34042358228061e-175,-2.69528848759718,-2.69528848759718,0.000478424933641675
"ITGB3BP",52,6.18154911541747e-176,8.98226636847978e-174,-3.13052948139467,-3.13052948139467,5.61882174221966e-05
"SOGA3",53,9.53844795428377e-175,1.35985873099185e-172,-1.88949673560586,-1.88949673560586,9.384970598752e-05
"GAS7",54,3.75014207448812e-173,5.24742102126514e-171,-2.07455730565091,-2.07455730565091,0.00040559078001166
"SYNRG",55,4.62275403161904e-173,6.35082353871168e-171,-2.43609746541624,-2.43609746541624,3.58781797269761e-06
"MVB12B",56,4.23486081244059e-172,5.71403719621443e-170,-2.6017839529444,-2.6017839529444,0.000295208837673073
"IQSEC1",57,6.42738623923561e-171,8.52023340766039e-169,-2.05793410952662,-2.05793410952662,0.000204696143789543
"TACC2",58,1.01907536253049e-170,1.32760921366902e-168,-3.22127721724313,-3.22127721724313,0.000100775460556944
"CUL9",59,5.95077418460904e-170,7.62102537947579e-168,-2.51571395814098,-2.51571395814098,5.57067468806667e-07
"SIPA1L2",60,1.1403602777286e-169,1.43609370975286e-167,-2.15700596190109,-2.15700596190109,0.000264675343399763
"SLC25A23",61,8.31844464287063e-169,1.03039619215623e-166,-1.96697087422082,-1.96697087422082,0.000106865062209317
"MBLAC2",62,5.5445486798957e-168,6.73160854660076e-166,-3.16244580553942,-3.16244580553942,3.83716516411403e-05
"CDKL1",63,5.61264344144848e-168,6.73160854660076e-166,-3.60903123864396,-3.60903123864396,0.000251676828036684
"TIAM2",64,1.70536438645737e-167,2.01339582876128e-165,-3.34219188881462,-3.34219188881462,0.000118235103695056
"NAV1",65,7.07198740985542e-167,8.22091336444136e-165,-2.04397326854796,-2.04397326854796,0.000155845335936952
"SLC35F4",66,8.21569547869428e-167,9.40572652075981e-165,-2.07517167836467,-2.07517167836467,0.000541372108528633
"ASPH",67,8.02252241394066e-166,9.04748945667712e-164,-2.45543340853684,-2.45543340853684,0.000246832357179019
"SLC6A15",68,1.47693138881547e-165,1.641131407925e-163,-3.77976347648875,-3.77976347648875,0.000230232798091298
"NCOA7",69,3.78277060555951e-165,4.14240792689955e-163,-1.91771112971441,-1.91771112971441,0.00022523761918834
"RUFY3",70,1.60951657916794e-164,1.73735818174186e-162,-2.07846145067997,-2.07846145067997,0.000213821575677806
"MMD2",71,1.91841172465102e-164,2.04162239316378e-162,-2.07575244169858,-2.07575244169858,0.000350281498742416
"FAM13A",72,1.47993907231368e-163,1.55311383755582e-161,-3.21019050818718,-3.21019050818718,6.79312850616478e-06
"FAT4",73,7.0254366632062e-163,7.2718081407105e-161,-3.09110262682235,-3.09110262682235,0.000780286537161524
"CALCOCO1",74,7.11538531210745e-162,7.26538532679515e-160,-4.01147700277571,-4.01147700277571,1.43684587592627e-05
"TNRC6B",75,3.02221408873073e-161,3.04477995392659e-159,-1.56915940324513,-1.56915940324513,0.000248569728483268
"CDON",76,3.16040280080952e-161,3.1421057319627e-159,-2.41875263232375,-2.41875263232375,7.21959780813931e-05
"NHSL2",77,2.67135707637435e-160,2.62139922975118e-158,-1.84059977025123,-1.84059977025123,0.000324841082914842
"BDNF",78,2.98410718432496e-160,2.89075819035381e-158,1.49598629805354,1.49598629805354,0.000309817441849392
"PCDH19",79,4.96811776014491e-160,4.75178453109567e-158,-2.46732114338129,-2.46732114338129,0.000461757726434363
"ARHGAP12",80,7.8815989763243e-160,7.44417023313816e-158,-2.46622785999682,-2.46622785999682,0.000184246410571913
"P2RY14",81,1.92564446037146e-159,1.79631722747736e-157,-1.66641577094697,-1.66641577094697,2.23562293978761e-05
"WWC1",82,2.37083065963061e-159,2.16721711891999e-157,-2.70745268378127,-2.70745268378127,0.000179659019580549
"MEGF11",83,2.38061171083064e-159,2.16721711891999e-157,2.37289922413253,2.37289922413253,0.000282558258579593
"PREX2",84,4.4384697908894e-159,3.99250925475716e-157,-2.50750851319023,-2.50750851319023,0.00030297823205377
"VWA3A",85,4.66332198809715e-159,4.14541893436019e-157,-3.09692182861276,-3.09692182861276,2.35013373459652e-05
"FAAH",86,1.22443959112294e-158,1.07579831982846e-156,-1.9174381963882,-1.9174381963882,9.31692914963503e-05
"UEVLD",87,1.84092837927281e-158,1.59885687744658e-156,-3.75135404557015,-3.75135404557015,3.34320115640098e-05
"STK39",88,2.50518663954169e-157,2.15104434640649e-155,-2.06537393147895,-2.06537393147895,0.000256195781340018
"URI1",89,3.23777317345202e-157,2.74883304478698e-155,-2.37719009681716,-2.37719009681716,9.04925535980495e-05
"POU2F2",90,6.87402944415647e-157,5.77112960889399e-155,-2.44569776821386,-2.44569776821386,0.000127927213678032
"ANXA6",91,2.72754088298558e-156,2.26475812218006e-154,-3.14172900099496,-3.14172900099496,1.06712121180981e-05
"TELO2",92,5.05972568458913e-156,4.15557470356047e-154,-2.89011873142253,-2.89011873142253,9.98105856735108e-07
"RAB11FIP2",93,1.55242774492291e-155,1.26130581082126e-153,-1.87253936309908,-1.87253936309908,8.26498876972704e-05
"SLC6A8",94,2.77605061226755e-155,2.23147217300996e-153,2.61855565079002,2.61855565079002,5.55001104980982e-05
"GLRB",95,1.7640098075009e-154,1.40303769531336e-152,-2.11985085107511,-2.11985085107511,0.00029218178035428
"NTF3",96,6.11448823016488e-154,4.81261177782574e-152,-2.91788028937078,-2.91788028937078,7.5882318913853e-05
"FRMD6",97,3.5020926512945e-153,2.72802186321463e-151,1.8477138871214,1.8477138871214,8.2104920588103e-05
"UPP2",98,1.43698415018953e-152,1.10794410600329e-150,-1.65735328008829,-1.65735328008829,0.000606650297226334
"FMNL1",99,9.07340606155422e-152,6.92511678799038e-150,1.61859265039932,1.61859265039932,8.91654310352626e-06
"STK40",100,2.36524070884725e-151,1.78717587960497e-149,1.84646120612787,1.84646120612787,7.68160206669043e-06
"PIGK",101,2.91583328503146e-151,2.18138973284141e-149,-1.47855335173478,-1.47855335173478,4.26097949257995e-05
"FBXO41",102,1.73923270201489e-150,1.288396303571e-148,-2.18199800239598,-2.18199800239598,6.31504842123663e-05
"BLVRB",103,2.40544039940332e-149,1.76461239397008e-147,3.36026303266014,3.36026303266014,2.70223876834229e-05
"KIF26B",104,2.59350485697751e-149,1.88428102878098e-147,-1.71376791874238,-1.71376791874238,3.97898559097947e-05
"PHACTR3",105,2.80217409760857e-149,2.01649785538387e-147,-2.16051777696201,-2.16051777696201,0.000386734168100079
"SLC17A5",106,4.81624373360327e-149,3.43316392934963e-147,-2.92047015312183,-2.92047015312183,0.000167401683358427
"CPEB3",107,4.96053868297127e-149,3.50297479332066e-147,-1.6180139737897,-1.6180139737897,0.000140927902476449
"DNAJC6",108,7.27313930285876e-149,5.08850375670368e-147,-1.6389878040094,-1.6389878040094,0.000334887389118554
"TANGO2",109,1.49314892169347e-148,1.03506727085465e-146,-2.14488187462544,-2.14488187462544,1.42201885439273e-05
"PALM",110,2.45263995757057e-148,1.68474068358215e-146,-1.97252186822409,-1.97252186822409,0.000121524962511589
"JPH4",111,7.77878547879864e-148,5.29518045745973e-146,-2.25548180249314,-2.25548180249314,0.000253414308572017
"LIMK2",112,7.97052030556903e-148,5.37725459186419e-146,-2.30607446678971,-2.30607446678971,7.70606835659609e-05
"KCNK2",113,3.39192674055777e-147,2.2680883585535e-145,-2.5330421307505,-2.5330421307505,8.18524944406081e-05
"GPR155",114,4.80743361524405e-147,3.18640073656e-145,-3.03841621749521,-3.03841621749521,0.000104028877238795
"HPCAL4",115,9.24410179132042e-147,6.07377679436659e-145,2.13869183215393,2.13869183215393,0.000253271037109297
"PYGO1",116,7.8379238114777e-146,5.10546140685558e-144,-3.14995219846467,-3.14995219846467,5.44382530309095e-05
"ST3GAL3",117,9.14892292673522e-146,5.90848390037714e-144,-1.86180691578196,-1.86180691578196,7.49784755151175e-05
"HLF",118,8.07909764045059e-144,5.17336116705477e-142,-2.60737044184709,-2.60737044184709,0.00027374286394527
"B3GALT5",119,1.09524884361312e-141,6.95436996835351e-140,-3.42462706234946,-3.42462706234946,0.000174116592276257
"DSP",120,1.28103451759371e-141,8.06624734578164e-140,-3.31548969288321,-3.31548969288321,9.13725492710299e-06
"FOXO1",121,2.58089366601822e-141,1.61167211077962e-139,-2.13194899922108,-2.13194899922108,0.000425065369274508
"ASTN1",122,3.26045006545011e-141,2.01934104053612e-139,-1.52681817758449,-1.52681817758449,0.000373410180889489
"KLHL24",123,6.90428528063228e-141,4.24136419353319e-139,-2.88330606742631,-2.88330606742631,5.73794438321851e-05
"ACVR2A",124,8.73508546558125e-141,5.32276659499458e-139,-2.03738609654604,-2.03738609654604,0.00022227332630092
"ZC3H6",125,1.09858550136e-140,6.64072963862103e-139,-2.21846271957231,-2.21846271957231,7.59622663490496e-05
"ZER1",126,2.46210663288671e-140,1.47648235857873e-138,-2.55614057714128,-2.55614057714128,0.000138840690986589
"RRAGB",127,1.36750689644444e-139,8.13612764530234e-138,-2.78372583554006,-2.78372583554006,2.92486847111488e-05
"PIGB",128,2.00054715533163e-139,1.18094799263173e-137,-2.99573301433085,-2.99573301433085,5.65784905716893e-05
"SLC25A27",129,4.80324938867412e-139,2.81343816905591e-137,-1.95555795750131,-1.95555795750131,1.50513707679291e-05
"DPF3",130,1.74595335500247e-137,1.01480181156915e-135,-1.77714378789588,-1.77714378789588,0.000438346995923979
"CCDC30",131,5.40781866752546e-137,3.11919678258189e-135,-1.86078637467937,-1.86078637467937,0.0002339269667696
"CRY1",132,5.89330986052886e-137,3.37347343228458e-135,2.51216922506351,2.51216922506351,2.97276581451588e-05
"CEP162",133,8.8082490817015e-137,5.00414511739381e-135,-3.74341804218602,-3.74341804218602,0.000107686186621963
"ARMC9",134,1.49030403979945e-136,8.40353531695883e-135,-1.7841696272609,-1.7841696272609,0.000136104403934418
"SERTAD2",135,4.19331503341244e-136,2.34701395499735e-134,1.46167215008987,1.46167215008987,4.77471412024452e-05
"SRRM3",136,1.91787933624491e-135,1.06555119593139e-133,-1.62741213507859,-1.62741213507859,0.000487134017025434
"RGL1",137,3.52549513457628e-135,1.9444263676539e-133,-1.57390617404317,-1.57390617404317,0.000342678484895012
"CREG2",138,6.28971977768625e-135,3.44384946668106e-133,-2.56179901426174,-2.56179901426174,0.000486956013040042
"SH3PXD2A",139,1.06120487880033e-134,5.76867918288864e-133,-2.77365011258219,-2.77365011258219,0.000266657272083049
"FCHO2",140,1.51882122424474e-134,8.19729512170949e-133,-2.04783782820352,-2.04783782820352,3.19634179849806e-05
"ZC3H12B",141,1.63301723727745e-134,8.75111932260173e-133,-1.71939270044239,-1.71939270044239,0.000125825558138768
"MCF2L",142,1.01931551489027e-133,5.42390706373997e-132,-1.96858576932902,-1.96858576932902,0.00013232510787116
"AKAP9",143,2.6235370042697e-133,1.38625493736095e-131,-1.94966229362483,-1.94966229362483,8.14514657116907e-05
"DPYSL2",144,3.75512680424292e-133,1.97039848144853e-131,-1.7373478217495,-1.7373478217495,0.000164192634363675
"ABHD18",145,7.49231193765691e-133,3.90426958627143e-131,-1.82184630403583,-1.82184630403583,0.000132136237385737
"STMN4",146,1.23118491665641e-132,6.37180358236708e-131,1.57246879437902,1.57246879437902,0.000154407246408535
"DEPDC5",147,4.34125395720632e-132,2.23146359868378e-130,-2.12177631883817,-2.12177631883817,6.02053722444279e-05
"BEND6",148,6.18969653880508e-132,3.16009101670346e-130,-2.77012778453176,-2.77012778453176,0.000189902592720298
"FILIP1",149,8.0564490001328e-132,4.0855388352352e-130,-3.3003423351511,-3.3003423351511,0.000307157973143107
"AIG1",150,8.33074443282294e-132,4.19647366229401e-130,-1.77334006128738,-1.77334006128738,0.000229102622094486
"PTPRR",151,1.29454700076517e-131,6.4778788991931e-130,-2.20690693891951,-2.20690693891951,0.000395614325202502
"REEP1",152,2.37344610865702e-131,1.17985255243502e-129,-1.91587790849914,-1.91587790849914,0.000168329335779171
"IQCE",153,4.43491954017149e-131,2.19021255199576e-129,-2.87689022806692,-2.87689022806692,3.03839393431079e-05
"SYT13",154,9.39719566470119e-131,4.6107279508104e-129,-2.04816602202869,-2.04816602202869,0.000292093590333229
"KIZ",155,1.3234726889626e-130,6.45171589535555e-129,-4.17708007042479,-4.17708007042479,9.92586193749347e-05
"HSPH1",156,1.8503865142212e-130,8.96251314195871e-129,1.9045974415683,1.9045974415683,7.24554664693528e-05
"AKAIN1",157,2.55004653730914e-130,1.2272708048349e-128,-2.71921078946153,-2.71921078946153,7.93157589965972e-06
"SLC44A1",158,6.70586751395688e-130,3.20693259085185e-128,-1.51266162438258,-1.51266162438258,0.000271864340279558
"GOLM1",159,8.88838263719999e-130,4.22393831488573e-128,-2.80457468766817,-2.80457468766817,0.000136050770957273
"PLEKHA6",160,1.97767425482498e-129,9.3395666684108e-128,-2.73614027046301,-2.73614027046301,0.00019295275575068
"USP46",161,2.27033254536001e-129,1.06550513743727e-127,-2.32494918759918,-2.32494918759918,1.98974717912861e-05
"MPPED2",162,1.1710864266081e-128,5.462178419414e-127,-1.45100791314738,-1.45100791314738,0.0004680243432928
"ANKRD6",163,6.25686678518177e-128,2.90042241894676e-126,-1.69182762210614,-1.69182762210614,0.000259308598001467
"MTA3",164,6.87745302781063e-128,3.16866067549619e-126,-1.92843061101919,-1.92843061101919,0.000223803847374783
"FGFR1",165,1.61896932042145e-127,7.4138982940029e-126,1.45349235226701,1.45349235226701,2.56461172472954e-05
"RAB27B",166,1.70826369165722e-127,7.77568702057932e-126,-2.74602293968042,-2.74602293968042,0.00013366062671983
"SOCS5",167,8.79683675067453e-127,3.9801735621615e-125,1.57689522165645,1.57689522165645,2.63753131077622e-05
"DYNC1I1",168,9.56936727168626e-127,4.30393685147982e-125,-1.39450178906221,-1.39450178906221,0.000667112819076119
"SLC29A4",169,2.63408315041501e-126,1.17770013517963e-124,-2.49136372103474,-2.49136372103474,8.43803435494575e-05
"MCCC1",170,3.57187481136673e-126,1.58759329851098e-124,-2.77787475748052,-2.77787475748052,0.000110582203930422
"MCCC2",171,6.43055960895858e-126,2.84148002370124e-124,-3.86322161991571,-3.86322161991571,2.99897697835583e-05
"METTL8",172,1.10804752978923e-125,4.86767856691119e-124,-3.60271912432251,-3.60271912432251,1.87431273325802e-05
"BCL7A",173,1.22026584623723e-125,5.32966978853662e-124,-2.51622744996732,-2.51622744996732,5.2825399291723e-05
"ABLIM3",174,2.19460957451407e-125,9.53015514082081e-124,-1.52929207483102,-1.52929207483102,0.000278227926745613
"RALGPS2",175,6.82913965924578e-125,2.94862738658641e-123,-1.77686963065698,-1.77686963065698,0.000327518156060167
"PGM2L1",176,6.87976321872369e-125,2.95360743640207e-123,-2.10011989547661,-2.10011989547661,0.000228584510314725
"ABLIM1",177,8.57016444737775e-125,3.65854025787483e-123,-1.46462453951107,-1.46462453951107,0.000254888440751092
"PKD1",178,1.19044678331153e-124,5.05337971612481e-123,-1.65979998562256,-1.65979998562256,8.0018700329376e-05
"TMCC2",179,1.79838593939687e-123,7.59139897099594e-122,-3.31198500447064,-3.31198500447064,2.62773113251059e-05
"SEC14L1",180,2.56854183384721e-123,1.07821678314163e-121,-1.90882775523487,-1.90882775523487,0.000140169026589848
"EML1",181,3.47553751131221e-123,1.4508928969876e-121,-2.86478686567352,-2.86478686567352,0.000284504313490091
"TM7SF3",182,6.13840697927322e-123,2.54845072172457e-121,-2.68823139277879,-2.68823139277879,9.77529272966468e-05
"ABCC8",183,6.24892791366588e-123,2.58015843254967e-121,-2.17386630184618,-2.17386630184618,8.93671768310278e-05
"ADCYAP1R1",184,7.86749028375273e-123,3.23080198826288e-121,-2.92305836068287,-2.92305836068287,0.000253523128602701
"KCNG1",185,2.0309207287689e-122,8.29493893328546e-121,-2.65376637465308,-2.65376637465308,4.00748833896824e-05
"CEP57L1",186,2.22754140577965e-121,9.04908756025341e-120,-3.98108047733436,-3.98108047733436,3.14688781148924e-05
"MATN2",187,3.67715305914188e-121,1.48580580293456e-119,-2.30612751428686,-2.30612751428686,0.000149972026263166
"LCA5",188,4.0248776324871e-121,1.61765826548258e-119,-3.27532021178281,-3.27532021178281,0.000160120592320159
"PRKD1",189,4.44498407559412e-121,1.77705289286716e-119,-1.38222209394673,-1.38222209394673,0.000214203292620707
"PRKCZ",190,4.53832729359838e-121,1.80482110686472e-119,-1.64801375749457,-1.64801375749457,9.30785823154526e-05
"CEP70",191,5.08955147188462e-121,2.01343722102404e-119,-2.09841634398918,-2.09841634398918,0.00015023153826777
"NALCN",192,6.19781365816027e-121,2.43909791672189e-119,-1.36862711133942,-1.36862711133942,0.000470576446302424
"TFDP2",193,9.09220529186693e-121,3.55962192670192e-119,-2.0707881102876,-2.0707881102876,0.000127202354632758
"CEP250",194,1.38194858023527e-120,5.38247601662783e-119,-3.25450760372106,-3.25450760372106,7.03181652876968e-05
"ATM",195,1.42391667279305e-120,5.51749455365365e-119,-3.41203517574241,-3.41203517574241,7.21812322249732e-05
"FMNL2",196,1.63960932443568e-120,6.32086125277354e-119,-1.45746682271909,-1.45746682271909,0.000522770877803636
"SYT17",197,4.61797934320411e-120,1.77124121407358e-118,-1.61003154247762,-1.61003154247762,0.000280757471978344
"IFRD1",198,6.64448685334038e-120,2.53564356888084e-118,1.45888315047105,1.45888315047105,0.000124296872438043
"RAB30",199,9.84107503384587e-120,3.73664135455971e-118,-2.22255235165914,-2.22255235165914,4.97745478180831e-06
"SCN3B",200,1.05585291630381e-119,3.98901231779576e-118,-1.51640669839929,-1.51640669839929,0.000164797692943759
"RNPEP",201,1.06499201427147e-119,4.00352221882358e-118,-2.01810902896807,-2.01810902896807,2.066862753557e-05
"PRKDC",202,1.0742473735153e-119,4.01832334370385e-118,-2.70336620887377,-2.70336620887377,8.89656770171274e-05
"ZMIZ1",203,1.33890675034454e-119,4.96231965503195e-118,1.30354966903054,1.30354966903054,0.000182345816310741
"PGAP2",204,1.3397474981823e-119,4.96231965503195e-118,-2.31864343761879,-2.31864343761879,6.00524961891865e-05
"SPOCK2",205,1.54546587351667e-119,5.696361044045e-118,-1.8633041206175,-1.8633041206175,9.63798493515535e-05
"STRADA",206,2.55778838880402e-119,9.35507268587558e-118,-1.66397164184769,-1.66397164184769,4.32310422784524e-05
"GLT1D1",207,2.56286401002686e-119,9.35507268587558e-118,-2.50114066187566,-2.50114066187566,0.000191713424306294
"STXBP4",208,1.04617973669148e-118,3.80044908194271e-117,-2.85893830627764,-2.85893830627764,0.000151950135777135
"CYTH1",209,2.06079890911501e-118,7.45042897477159e-117,-1.80737021201357,-1.80737021201357,0.000149414469611747
"SETX",210,4.8946385228798e-118,1.76113755613715e-116,-1.94905057395167,-1.94905057395167,2.77220471809381e-05
"SOS2",211,8.68465490790822e-118,3.11001196607359e-116,-2.45942100808361,-2.45942100808361,0.00010778966539039
"CHST9",212,9.33741690641603e-118,3.32799632758863e-116,-1.43511679985256,-1.43511679985256,0.000659984914720325
"TBCD",213,1.04011928970924e-117,3.68973772443331e-116,-2.07679530553442,-2.07679530553442,6.40321105202785e-05
"PCLO",214,3.80162751620296e-117,1.34229427628176e-115,-1.29634616603483,-1.29634616603483,0.000586700799918979
"CALB1",215,5.10932480843538e-117,1.7956306163971e-115,-1.86850831127507,-1.86850831127507,0.000342416248878513
"TRIM46",216,8.03820807645541e-117,2.81188426970814e-115,-1.69144892883216,-1.69144892883216,1.59719192147146e-05
"TMEM131L",217,9.79998303394644e-117,3.41238118914737e-115,-3.04832105516415,-3.04832105516415,0.000112187376928342
"IFT140",218,2.72722479135935e-116,9.4527112493169e-115,-3.30041075986896,-3.30041075986896,5.01226084644972e-05
"MPV17L",219,7.817956072081e-116,2.69737333701575e-114,-2.29662167745338,-2.29662167745338,1.49359787450909e-05
"TEF",220,7.94374904902747e-116,2.72831671883876e-114,-1.6841009527675,-1.6841009527675,0.00014056157486126
"LY6E",221,1.56764041729315e-115,5.35976968012089e-114,-2.61582867161346,-2.61582867161346,1.56162674923007e-05
"COPG2",222,1.93521785765542e-115,6.58671447407405e-114,-1.76387722347285,-1.76387722347285,1.72194703567795e-05
"SYT14",223,2.18776716365455e-115,7.40303128615482e-114,-1.68487622639772,-1.68487622639772,8.75229540371496e-05
"SEMA4D",224,2.19465194295752e-115,7.40303128615482e-114,-2.2173628434962,-2.2173628434962,0.000316173826800641
"CRTC3",225,2.39512545423235e-115,8.04336352541322e-114,-1.49383492262796,-1.49383492262796,0.000211980656585178
"AGO4",226,3.67543050117741e-115,1.22882977287153e-113,-3.29017300671549,-3.29017300671549,0.000111342066389171
"SIL1",227,3.85984747051448e-115,1.28480209194748e-113,-2.24584690911456,-2.24584690911456,5.42361151511124e-05
"NARF",228,4.99843977020262e-115,1.6565004782303e-113,-3.30663382210624,-3.30663382210624,1.97192355399626e-05
"TBC1D32",229,6.85020980255427e-115,2.26027009904363e-113,-2.46787292543947,-2.46787292543947,0.000174210091995687
"NOCT",230,7.24790931510271e-115,2.38109577325717e-113,1.38451245251843,1.38451245251843,2.27807927978202e-05
"ZNF516",231,9.42796376427615e-115,3.08388286592506e-113,1.69535483303796,1.69535483303796,0.000271266793113939
"LDLRAD3",232,3.73510780163284e-114,1.21648597194557e-112,-3.10745419081754,-3.10745419081754,1.03037702894134e-05
"ARHGEF11",233,4.51093120615947e-114,1.46285820573996e-112,-2.08613101124816,-2.08613101124816,0.000157445262028324
"COTL1",234,4.88110463850084e-114,1.57613789096209e-112,-2.8829487059441,-2.8829487059441,1.89983172406974e-05
"CENPC",235,1.09759919237189e-113,3.52913170109025e-112,-2.30511243088098,-2.30511243088098,0.000161881075140366
"KLHL5",236,2.41437686393833e-113,7.7300981287788e-112,-3.17467521019431,-3.17467521019431,0.000427036002612969
"FOXK1",237,4.88391423079069e-113,1.55708252860145e-111,-1.57034471851477,-1.57034471851477,9.38790429007381e-05
"NEK10",238,1.14548139820675e-112,3.63666279195384e-111,-2.39767686981989,-2.39767686981989,0.000584661243318301
"C2CD3",239,1.38640576467201e-112,4.38313052630198e-111,-2.91502252281715,-2.91502252281715,7.14381855519507e-05
