id,x,y
143,1.444517e+04,2.276960e+03
144,1.434851e+04,2.278984e+03
145,1.468122e+04,2.290296e+03
146,1.521105e+04,2.282123e+03
147,1.277780e+04,2.279302e+03
148,1.396041e+04,2.280529e+03
149,6.838148e+03,2.284287e+03
150,1.400766e+04,2.281767e+03
151,1.476557e+04,2.280411e+03
152,1.616198e+04,2.288515e+03
153,1.491914e+04,2.284920e+03
154,1.267305e+04,2.286331e+03
155,1.277070e+04,2.291449e+03
156,1.328450e+04,2.289399e+03
157,6.866648e+03,2.292021e+03
158,1.444890e+04,2.288471e+03
159,1.477992e+04,2.292312e+03
160,1.534730e+04,2.292020e+03
161,1.610423e+04,2.289589e+03
162,1.518838e+04,2.292563e+03
163,1.628825e+04,2.288376e+03
164,1.272225e+04,2.291700e+03
165,1.404356e+04,2.291238e+03
166,1.442944e+04,2.286456e+03
167,1.475590e+04,2.291169e+03
168,1.552647e+04,2.288980e+03
169,1.603230e+04,2.294260e+03
170,1.472034e+04,2.286876e+03
171,1.577028e+04,2.292220e+03
172,1.453199e+04,2.291555e+03
173,1.360629e+04,2.291039e+03
174,1.508180e+04,2.294067e+03
175,1.627205e+04,2.298926e+03
176,1.630264e+04,2.298755e+03
177,1.668908e+04,2.296685e+03
178,1.275650e+04,2.297985e+03
179,1.397517e+04,2.298565e+03
180,1.410365e+04,2.294955e+03
181,1.445839e+04,2.294918e+03
182,1.447447e+04,2.301472e+03
183,1.622031e+04,2.300126e+03
184,1.341072e+04,2.304064e+03
185,1.353139e+04,2.302905e+03
186,1.273325e+04,2.306821e+03
187,1.292999e+04,2.301771e+03
188,1.475331e+04,2.313496e+03
189,1.394612e+04,2.305046e+03
190,1.459940e+04,2.308326e+03
191,1.559225e+04,2.313223e+03
192,1.580823e+04,2.304296e+03
193,1.566293e+04,2.309108e+03
194,1.267481e+04,2.305169e+03
195,1.503451e+04,2.308601e+03
196,1.396109e+04,2.308171e+03
197,1.507186e+04,2.308783e+03
198,6.861678e+03,2.317476e+03
199,1.456658e+04,2.313354e+03
200,1.550586e+04,2.312326e+03
201,1.620419e+04,2.306512e+03
202,1.404535e+04,2.310771e+03
203,1.410458e+04,2.308516e+03
204,1.496238e+04,2.308493e+03
205,1.591617e+04,2.311121e+03
206,6.910967e+03,2.310722e+03
207,1.316171e+04,2.312145e+03
208,1.472567e+04,2.310208e+03
209,1.519814e+04,2.317916e+03
210,6.821425e+03,2.310998e+03
211,1.487595e+04,2.317617e+03
212,1.515953e+04,2.317084e+03
213,1.529448e+04,2.311565e+03
214,6.880296e+03,2.314081e+03
215,1.326871e+04,2.317581e+03
216,1.554490e+04,2.318405e+03
217,6.844128e+03,2.320035e+03
218,1.464907e+04,2.318275e+03
219,1.403257e+04,2.318674e+03
220,6.805083e+03,2.315207e+03
221,1.264959e+04,2.320337e+03
222,1.268776e+04,2.318801e+03
223,1.389610e+04,2.315728e+03
224,1.547327e+04,2.316323e+03
225,1.556432e+04,2.321331e+03
226,1.448364e+04,2.319625e+03
227,1.551933e+04,2.320776e+03
228,1.408594e+04,2.325903e+03
229,1.567279e+04,2.318513e+03
230,1.358596e+04,2.325161e+03
231,1.477498e+04,2.324151e+03
232,1.238742e+04,2.327007e+03
233,1.798398e+03,2.327358e+03
234,1.394366e+04,2.326680e+03
235,1.445252e+04,2.327544e+03
236,1.518208e+04,2.327250e+03
237,1.538599e+04,2.327614e+03
238,1.272887e+04,2.325180e+03
239,1.353636e+04,2.326332e+03
240,1.633134e+04,2.329957e+03
241,6.901252e+03,2.332754e+03
242,1.501848e+04,2.330193e+03
243,1.525894e+04,2.332346e+03
244,1.569382e+04,2.334240e+03
245,1.317201e+04,2.333887e+03
246,1.323873e+04,2.336913e+03
247,1.382670e+04,2.331386e+03
248,1.455795e+04,2.333068e+03
249,6.880937e+03,2.335422e+03
250,1.260410e+04,2.333316e+03
251,1.350483e+04,2.335352e+03
252,1.351798e+04,2.333412e+03
